"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10660","CP01_Acceso a la pantalla","","2025-12-19","passed","2025-12-19","","58378 Creación de sub - actividad para una actividad","",""
"","14658","CP01_Validar el acceso a la funcionalidad","","2025-12-19","passed","2025-12-19","","58140 Modificación de envío de alertas o notificación","",""
"","6357","CP16_Validar obligatoriedad del cuerpo del mensaje","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","40410","CP06_Validad Funcionalidad de Guardar flujo completo","","2025-12-19","passed","2025-12-19","","57827 Configurar fechas por etapas","",""
"","10367","CP1_Acceso a la pantalla únicamente perfil superadministrador","","2025-12-19","passed","2025-12-19","","58307 Administrar Actividades - Consulta de Actividades","",""
"","9908","CP15_Validar límite de 200 caracteres en cuerpo del mensaje","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","8698","CP5_Validaciones del campo Contraseña","","2025-12-19","passed","2025-12-19","","57775 Autenticación de Usuarios mediante Login","",""
"","5439","CP02_Consulta inicial sin resultados","","2025-12-19","passed","2025-12-19","","58361 Administrar Pregunta por actividad o subactividad","",""
"","11306","CP12_Validar comportamiento botón Cancelar y botón Cerrar del form","","2025-12-19","passed","2025-12-19","","58379 Modificación de sub - actividad para una actividad","",""
"","8848","CP8_Consulta sin seleccionar filtros","","2025-12-19","passed","2025-12-19","","58307 Administrar Actividades - Consulta de Actividades","",""
"","12233","CP05_Visualización de etapas duplicadas. (Confirmar y Cancelar Duplicados)","","2025-12-19","passed","2025-12-19","","58291 Creación de etapa del proceso electoral","",""
"","10003","CP01_Validar que al ingresar al modulo se visualice el botón de editar en la columna de acciones","","2025-12-19","passed","2025-12-19","","58310 Modificación de Actividad por etapa","",""
"","15861","CP24_Validar previsualización de mensaje","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","5586","CP11_Validar que Fechas de visualización sean solo lectura","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","7997","CP10_Validar la modal al dar clic en guardar los datos editados","","2025-12-19","passed","2025-12-19","","58294 Modificación de etapa del proceso","",""
"","8179","CP03_Validar información de la subactividad consultada","","2025-12-19","passed","2025-12-19","","62774 Visualizar Subactividades asociadas a una Actividad","",""
"","10040","CP6_Datos de la lista desplegable Actividades asociadas a la etapa","","2025-12-19","passed","2025-12-19","","58307 Administrar Actividades - Consulta de Actividades","",""
"","7763","CP02_Creación exitosa de una nueva etapa","","2025-12-19","passed","2025-12-19","","58291 Creación de etapa del proceso electoral","",""
"","10158","CP01_Acceso formulario creación pregunta","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","11231","CP01_Acceso a la pantalla de cargue de agrupaciones politicas","","2025-12-19","passed","2025-12-19","","62750 Cargue de Archivo de Agrupaciones Políticas","",""
